UN_Code,Identifier,ISO2_Code,ISO3_Code,Name_En,Official_Name_En,Continent_Group_En,EcoClass_Group_En,GeoRegion_Group_En
16,5,AS,ASM,American Samoa,American Samoa,Oceania,Other developing countries or areas,Polynesia
36,10,AU,AUS,Australia,Australia,Oceania,Developed countries or areas,Australia and New Zealand
90,25,SB,SLB,Solomon Islands,Solomon Islands,Oceania,Least Developed Countries,Melanesia
162,42,CX,CXR,Christmas Island,Christmas Island,Oceania,Developed countries or areas,Australia and New Zealand
166,43,CC,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Oceania,Developed countries or areas,Australia and New Zealand
184,47,CK,COK,Cook Islands,the Cook Islands,Oceania,Other developing countries or areas,Polynesia
242,66,FJ,FJI,Fiji,the Republic of Fiji,Oceania,Other developing countries or areas,Melanesia
258,70,PF,PYF,French Polynesia,French Polynesia,Oceania,Other developing countries or areas,Polynesia
296,83,KI,KIR,Kiribati,the Republic of Kiribati,Oceania,Least Developed Countries,Micronesia
316,88,GU,GUM,Guam,Guam,Oceania,Other developing countries or areas,Micronesia
334,92,HM,HMD,Heard and McDonald Is.,Heard Island and McDonald Island,Oceania,Developed countries or areas,Australia and New Zealand
520,148,NR,NRU,Nauru,the Republic of Nauru,Oceania,Other developing countries or areas,Micronesia
540,153,NC,NCL,New Caledonia,New Caledonia,Oceania,Other developing countries or areas,Melanesia
548,155,VU,VUT,Vanuatu,the Republic of Vanuatu,Oceania,Other developing countries or areas,Melanesia
554,156,NZ,NZL,New Zealand,New Zealand,Oceania,Developed countries or areas,Australia and New Zealand
570,160,NU,NIU,Niue,the Republic of Niue,Oceania,Other developing countries or areas,Polynesia
574,161,NF,NFK,Norfolk Island,Territory of Norfolk Island,Oceania,Developed countries or areas,Australia and New Zealand
580,163,MP,MNP,Northern Mariana Is.,Northern Mariana Islands,Oceania,Other developing countries or areas,Micronesia
581,232,UM,UMI,US Minor Outlying Is.,the United States Minor Islands,Oceania,Other developing countries or areas,Micronesia
583,145,FM,FSM,"Micronesia, Fed.States of",the Federated States of Micronesia,Oceania,Other developing countries or areas,Micronesia
584,127,MH,MHL,Marshall Islands,the Republic of the Marshall Islands,Oceania,Other developing countries or areas,Micronesia
585,180,PW,PLW,Palau,the Republic of Palau,Oceania,Other developing countries or areas,Micronesia
598,168,PG,PNG,Papua New Guinea,Independent State of Papua New Guinea,Oceania,Other developing countries or areas,Melanesia
612,172,PN,PCN,Pitcairn Islands,Pitcairn Islands,Oceania,Other developing countries or areas,Polynesia
772,218,TK,TKL,Tokelau,Tokelau,Oceania,Other developing countries or areas,Polynesia
776,219,TO,TON,Tonga,the Kingdom of Tonga,Oceania,Other developing countries or areas,Polynesia
798,227,TV,TUV,Tuvalu,Tuvalu,Oceania,Least Developed Countries,Polynesia
876,243,WF,WLF,Wallis and Futuna Is.,Wallis and Futuna Islands,Oceania,Other developing countries or areas,Polynesia
882,244,WS,WSM,Samoa,the Independent State of Samoa,Oceania,Other developing countries or areas,Polynesia
